time,open,high,low,close,tick_volume,spread,real_volume
2025-03-10 23:58:00,1.08385,1.08395,1.08385,1.08388,21,0,0
2025-03-10 23:59:00,1.08388,1.08397,1.08388,1.08394,21,0,0
2025-03-11 00:00:00,1.08395,1.08402,1.08392,1.084,40,0,0
2025-03-11 00:01:00,1.08401,1.08422,1.08393,1.0842,42,0,0
2025-03-11 00:02:00,1.08419,1.08439,1.08417,1.08439,34,0,0
2025-03-11 00:03:00,1.08436,1.08439,1.08422,1.08432,35,0,0
2025-03-11 00:04:00,1.08432,1.08433,1.08422,1.08428,29,0,0
2025-03-11 00:05:00,1.08429,1.08446,1.08427,1.08446,38,0,0
2025-03-11 00:06:00,1.08447,1.08472,1.08447,1.08472,43,0,0
2025-03-11 00:07:00,1.08472,1.08476,1.08465,1.08471,26,0,0
2025-03-11 00:08:00,1.08471,1.08487,1.08471,1.08474,44,0,0
2025-03-11 00:09:00,1.08474,1.08474,1.08449,1.08453,47,0,0
2025-03-11 00:10:00,1.08454,1.08454,1.0843,1.08438,36,0,0
2025-03-11 00:11:00,1.08437,1.08446,1.0843099999999999,1.08443,34,0,0
2025-03-11 00:12:00,1.08443,1.0845,1.08437,1.08445,33,0,0
2025-03-11 00:13:00,1.08445,1.08451,1.0844,1.0845,41,0,0
2025-03-11 00:14:00,1.0845,1.08464,1.08443,1.08443,37,0,0
2025-03-11 00:15:00,1.08444,1.08445,1.08432,1.08433,31,0,0
2025-03-11 00:16:00,1.08434,1.08438,1.08427,1.08428,23,0,0
2025-03-11 00:17:00,1.08428,1.08441,1.08428,1.08438,24,0,0
2025-03-11 00:18:00,1.08438,1.08452,1.08438,1.0845,28,0,0
2025-03-11 00:19:00,1.0845,1.08463,1.0845,1.08454,34,0,0
2025-03-11 00:20:00,1.08454,1.0846,1.08452,1.08457,20,0,0
2025-03-11 00:21:00,1.08457,1.0846,1.08451,1.08451,25,0,0
2025-03-11 00:22:00,1.0845,1.08453,1.08445,1.08448,18,0,0
2025-03-11 00:23:00,1.08447,1.08451,1.0844,1.08443,24,0,0
2025-03-11 00:24:00,1.08442,1.08446,1.08438,1.08446,22,0,0
2025-03-11 00:25:00,1.08446,1.08448,1.08441,1.08442,13,0,0
2025-03-11 00:26:00,1.08443,1.08443,1.08437,1.08437,17,0,0
2025-03-11 00:27:00,1.08437,1.0844,1.08427,1.08427,20,0,0
2025-03-11 00:28:00,1.08427,1.0844,1.08427,1.08437,27,0,0
2025-03-11 00:29:00,1.08435,1.08461,1.08435,1.0846,40,0,0
2025-03-11 00:30:00,1.08461,1.08462,1.08452,1.08455,36,0,0
2025-03-11 00:31:00,1.08455,1.08464,1.08452,1.08457,33,0,0
2025-03-11 00:32:00,1.08456,1.08456,1.08435,1.08436,29,0,0
2025-03-11 00:33:00,1.08436,1.08442,1.08426,1.08428,49,0,0
2025-03-11 00:34:00,1.08429,1.08435,1.08427,1.08429,25,0,0
2025-03-11 00:35:00,1.08429,1.08432,1.08421,1.08427,24,0,0
2025-03-11 00:36:00,1.08426,1.08436,1.08426,1.08435,33,0,0
2025-03-11 00:37:00,1.08435,1.08438,1.08429,1.08437,20,0,0
2025-03-11 00:38:00,1.08437,1.08443,1.08428,1.08437,36,0,0
2025-03-11 00:39:00,1.08437,1.08458,1.08434,1.08452,32,0,0
2025-03-11 00:40:00,1.08453,1.08483,1.08453,1.0848,37,0,0
2025-03-11 00:41:00,1.08481,1.08484,1.08471,1.08484,28,0,0
2025-03-11 00:42:00,1.08483,1.08486,1.08474,1.08477,36,0,0
2025-03-11 00:43:00,1.08476,1.08476,1.08444,1.08447,40,0,0
2025-03-11 00:44:00,1.08447,1.08468,1.08444,1.08464,40,0,0
2025-03-11 00:45:00,1.08464,1.08477,1.08464,1.08473,30,0,0
2025-03-11 00:46:00,1.08474,1.08474,1.08453,1.08454,39,0,0
2025-03-11 00:47:00,1.08454,1.08462,1.08446,1.08462,48,0,0
2025-03-11 00:48:00,1.08462,1.08463,1.0844,1.0844,51,0,0
2025-03-11 00:49:00,1.08441,1.08452,1.08437,1.08452,36,0,0
2025-03-11 00:50:00,1.08452,1.08475,1.08452,1.08464,80,0,0
2025-03-11 00:51:00,1.08462,1.08505,1.08462,1.08491,66,0,0
2025-03-11 00:52:00,1.08491,1.08504,1.08488,1.085,48,0,0
2025-03-11 00:53:00,1.08499,1.08505,1.08484,1.08489,61,0,0
2025-03-11 00:54:00,1.08489,1.08493,1.08472,1.08478,79,0,0
2025-03-11 00:55:00,1.08475,1.085,1.08468,1.08499,60,0,0
2025-03-11 00:56:00,1.08501,1.08514,1.08496,1.08497,56,0,0
2025-03-11 00:57:00,1.08497,1.08535,1.08494,1.08509,70,0,0
2025-03-11 00:58:00,1.08511,1.08532,1.08511,1.08521,56,0,0
2025-03-11 00:59:00,1.08521,1.08523,1.08512,1.08514,44,0,0
2025-03-11 01:00:00,1.08515,1.08526,1.08508,1.08508,49,0,0
2025-03-11 01:01:00,1.08511,1.08526,1.08505,1.08526,47,0,0
2025-03-11 01:02:00,1.08526,1.08529,1.085,1.08506,47,0,0
2025-03-11 01:03:00,1.08506,1.08507,1.08463,1.08473,78,0,0
2025-03-11 01:04:00,1.08475,1.08475,1.0845,1.0845,59,0,0
2025-03-11 01:05:00,1.08451,1.08476,1.08449,1.08468,44,0,0
2025-03-11 01:06:00,1.08468,1.0849199999999999,1.08468,1.0849199999999999,64,0,0
2025-03-11 01:07:00,1.0849199999999999,1.08498,1.08481,1.08496,58,0,0
2025-03-11 01:08:00,1.08497,1.08502,1.08476,1.08483,54,0,0
2025-03-11 01:09:00,1.08483,1.08483,1.08467,1.08474,45,0,0
2025-03-11 01:10:00,1.08473,1.08487,1.08473,1.08476,53,0,0
2025-03-11 01:11:00,1.08477,1.08488,1.08477,1.08488,31,0,0
2025-03-11 01:12:00,1.08488,1.08497,1.08488,1.08493,37,0,0
2025-03-11 01:13:00,1.08491,1.08513,1.0849,1.08511,44,0,0
2025-03-11 01:14:00,1.08509,1.08512,1.0848,1.08488,44,0,0
2025-03-11 01:15:00,1.08489,1.08503,1.08473,1.08473,56,0,0
2025-03-11 01:16:00,1.08472,1.08475,1.08461,1.08475,51,0,0
2025-03-11 01:17:00,1.08475,1.08494,1.08475,1.0849199999999999,39,0,0
2025-03-11 01:18:00,1.0849,1.08493,1.0847,1.08479,54,0,0
2025-03-11 01:19:00,1.08479,1.0849,1.08473,1.08487,40,0,0
2025-03-11 01:20:00,1.08488,1.08488,1.08478,1.08479,30,0,0
2025-03-11 01:21:00,1.08479,1.08485,1.08476,1.08484,36,0,0
2025-03-11 01:22:00,1.08486,1.08505,1.08486,1.08496,40,0,0
2025-03-11 01:23:00,1.08497,1.08498,1.08483,1.08483,37,0,0
2025-03-11 01:24:00,1.08483,1.0849,1.08481,1.08487,32,0,0
2025-03-11 01:25:00,1.08485,1.08487,1.08475,1.08486,30,0,0
2025-03-11 01:26:00,1.08486,1.08488,1.08465,1.08469,47,0,0
2025-03-11 01:27:00,1.08469,1.08473,1.08461,1.08467,38,0,0
2025-03-11 01:28:00,1.08467,1.08479,1.08461,1.08478,29,0,0
2025-03-11 01:29:00,1.08478,1.08484,1.08476,1.08477,25,0,0
2025-03-11 01:30:00,1.08477,1.08493,1.08475,1.08488,57,0,0
2025-03-11 01:31:00,1.08489,1.08491,1.08467,1.08475,57,0,0
2025-03-11 01:32:00,1.08473,1.08473,1.08458,1.08463,36,0,0
2025-03-11 01:33:00,1.08462,1.08462,1.08446,1.08448,43,0,0
2025-03-11 01:34:00,1.08448,1.08458,1.08442,1.08445,43,0,0
2025-03-11 01:35:00,1.08446,1.08451,1.08438,1.08449,40,0,0
